Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
Gong Y.; Schroeder A.; Pan B.; Sundar S.S.; Mowen A.J.,"Gong, Yaqi (57911470000); Schroeder, Ashley (54942898600); Pan, Bing (35240693300); Sundar, S. Shyam (7103328070); Mowen, Andrew J. (6506052306)",57911470000; 54942898600; 35240693300; 7103328070; 6506052306,Does algorithmic filtering lead to filter bubbles in online tourist information searches?,2023,Information Technology and Tourism,,,,,,,0,10.1007/s40558-023-00279-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180819628&doi=10.1007%2fs40558-023-00279-4&partnerID=40&md5=19f57f2ceb4cd197c3872b3a11bedd75,Article,Article in press,,Scopus,2-s2.0-85180819628
Michopoulou E.; Moisa D.G.,"Michopoulou, Eleni (36167245300); Moisa, Delia Gabriela (57193989554)",36167245300; 57193989554,'The impact of culture on tourists' online information search behaviour: Evidence from the UK and china,2016,"Global Dynamics in Travel, Tourism, and Hospitality",,,,1,22,21,1,10.4018/978-1-5225-0201-2.ch001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018042520&doi=10.4018%2f978-1-5225-0201-2.ch001&partnerID=40&md5=d833463da1b06b8137b9eaffe04e98db,Book chapter,Final,,Scopus,2-s2.0-85018042520
Alhemimah A.,"Alhemimah, Arej (58020900900)",58020900900,Understanding Tourists? Attitude Toward Online Travel Health Information During and Post-COVID-19: A Health Belief Model Application,2022,Tourism and Hospitality Research,,,,,,,0,10.1177/14673584221119379,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144185900&doi=10.1177%2f14673584221119379&partnerID=40&md5=b0385609f21cdbce60e6cfee8096e0d3,Article,Article in press,All Open Access; Green Open Access,Scopus,2-s2.0-85144185900
Coll Ramis M.?.; Uguet M.F.; Llin s M.S.,"Coll Ramis, Miquel ?ngel (56115682100); Uguet, Marc Fuster (57222036542); Llin s, Miguel Segu¡ (6508099215)",56115682100; 57222036542; 6508099215,"Online tourist information at the local scale. Analysis of the official websites of the municipalities of mallorca, spain; [La informaci¢n tur¡stica online a escala local. An lisis de las webs oficiales de los ayuntamientos de mallorca, espa¤a]",2021,Investigaciones Turisticas,,21,,205,223,18,1,10.14198/INTURI2021.21.10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101093079&doi=10.14198%2fINTURI2021.21.10&partnerID=40&md5=2b7faf39e1bec36182261bca0e5943f8,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85101093079
Zhou L.; Yin J.; Wang K.,"Zhou, Liang (58435123400); Yin, Jiamin (57218404399); Wang, Kanliang (8846828400)",58435123400; 57218404399; 8846828400,Online service co-customization: How the partner and the information presentation affects tourists' choice of online tour services,2016,"Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings",,,,,,,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011101722&partnerID=40&md5=5cc2990a768f1dfa132b87a3ccacf391,Conference paper,Final,,Scopus,2-s2.0-85011101722
Ranga I.; Singh R.; Ranga B.,"Ranga, Indu (57789077500); Singh, Ranbir (58735374000); Ranga, Bindu (57789291400)",57789077500; 58735374000; 57789291400,Which User-Generated Content is Considered Useful by Tourists? An Investigation Into the Role of Information Types Shared in Online Discourse in Online Travel Communities,2023,International Journal of Human-Computer Interaction,39,15,,3114,3126,12,2,10.1080/10447318.2022.2093447,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133649205&doi=10.1080%2f10447318.2022.2093447&partnerID=40&md5=ba7f0f26215e572d912bf22b61324cab,Article,Final,,Scopus,2-s2.0-85133649205
Liu P.; Zhang H.; Zhang J.; Sun Y.; Qiu M.,"Liu, Peixue (57207222122); Zhang, Honglei (36611148800); Zhang, Jie (55988964400); Sun, Ye (57191650549); Qiu, Mengyuan (57201120818)",57207222122; 36611148800; 55988964400; 57191650549; 57201120818,Spatial-temporal response patterns of tourist flow under impulse pre-trip information search: From online to arrival,2019,Tourism Management,73,,,105,114,9,40,10.1016/j.tourman.2019.01.021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061057474&doi=10.1016%2fj.tourman.2019.01.021&partnerID=40&md5=d5e6672e9c0f3af9119c1f5f9adb9cab,Article,Final,,Scopus,2-s2.0-85061057474
Uthaisar S.; Eves A.; Wang X.L.,"Uthaisar, Songphon (57164010000); Eves, Anita (6603041532); Wang, Xuan Lorna (58098332200)",57164010000; 6603041532; 58098332200,Tourists? Online Information Search Behavior: Combined User-Generated and Marketer-Generated Content in Restaurant Decision Making,2023,Journal of Travel Research,,,,,,,1,10.1177/00472875231195314,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170516070&doi=10.1177%2f00472875231195314&partnerID=40&md5=e9380e8bcf3dae1cb4000ff75070216c,Article,Article in press,,Scopus,2-s2.0-85170516070
Pesonen J.A.; Tuohino A.,"Pesonen, Juho Antti (53164554800); Tuohino, Anja (6505504519)",53164554800; 6505504519,Activity-based market segmentation of rural well-being tourists: Comparing online information search,2017,Journal of Vacation Marketing,23,2,,145,158,13,28,10.1177/1356766715610163,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018960382&doi=10.1177%2f1356766715610163&partnerID=40&md5=8676d194530b15b56fd4b0367862212d,Article,Final,,Scopus,2-s2.0-85018960382
Li L.; Wang A.; Huang K.,"Li, Lei (56127186700); Wang, Ao (57219743819); Huang, Kun (56251424300)",56127186700; 57219743819; 56251424300,Exploring the criteria for self-guided tourists to evaluate satisfaction with online travel information,2020,Proceedings of the Association for Information Science and Technology,57,1,e346,,,,1,10.1002/pra2.346,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121564780&doi=10.1002%2fpra2.346&partnerID=40&md5=9fd989a95503fcb6f486e0da999bd880,Article,Final,,Scopus,2-s2.0-85121564780
Qin Y.; Wang X.; Xu Z.,"Qin, Yong (57205945371); Wang, Xinxin (57204520948); Xu, Zeshui (55502698400)",57205945371; 57204520948; 55502698400,Ranking Tourist Attractions through Online Reviews: A Novel Method with Intuitionistic and Hesitant Fuzzy Information Based on Sentiment Analysis,2022,International Journal of Fuzzy Systems,24,2,,755,777,22,25,10.1007/s40815-021-01131-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108782340&doi=10.1007%2fs40815-021-01131-9&partnerID=40&md5=c11a5cbcbd0eb75e8d84b12b211d5d93,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85108782340
Herman G.V.; Grama V.; Sonko S.M.; Boc E.; B?ican D.; Garai L.D.; Blaga L.; Josan I.; Caciora T.; Gruia K.A.; Grecu A.; Peptenatu D.,"Herman, Grigore Vasile (56035469900); Grama, Vasile (57217984594); Sonko, Seedou Mukthar (57214804838); Boc, Emilia (57217987176); B?ican, Diana (57889339500); Garai, Lavinia Daiana (57217986312); Blaga, Lucian (57217996892); Josan, Ioana (35766731400); Caciora, Tudor (57214802398); Gruia, Karina Andreea (57191837800); Grecu, Alexandra (57191849400); Peptenatu, Daniel (26538871500)",56035469900; 57217984594; 57214804838; 57217987176; 57889339500; 57217986312; 57217996892; 35766731400; 57214802398; 57191837800; 57191849400; 26538871500,"Online information premise in the development of bihor tourist destination, Romania",2020,Folia Geographica,62,1,,21,34,13,14,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087818207&partnerID=40&md5=e3d6e4f92cf74458c3f1c53cdee28733,Article,Final,,Scopus,2-s2.0-85087818207
Radzliyana R.; Khor P.H.; Azlan A.A.; Lim K.C.,"Radzliyana, R. (56368329900); Khor, P.H. (56368524700); Azlan, A.A. (55511747594); Lim, K.C. (56368195300)",56368329900; 56368524700; 55511747594; 56368195300,Tourist's gender and income differences on perceptions and intentions of online information,2015,Theory and Practice in Hospitality and Tourism Research - Proceedings of the 2nd International Hospitality and Tourism Conference 2014,,,,573,578,5,0,10.1201/b17390-113,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907313342&doi=10.1201%2fb17390-113&partnerID=40&md5=3b72481d8122254a92f883d369f2d751,Conference paper,Final,,Scopus,2-s2.0-84907313342
Carvalho A.; Cunha C.R.; Morais E.P.,"Carvalho, Ant¢nio (56299779600); Cunha, Carlos R. (57202512811); Morais, Elisabete Paulo (27568052000)",56299779600; 57202512811; 27568052000,A framework to support the tourist's information-needs Based on a ubiquitous approach,2010,"Business Transformation through Innovation and Knowledge Management: An Academic Perspective - Proceedings of the 14th International Business Information Management Association Conference, IBIMA 2010",4,,,2470,2479,9,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905095607&partnerID=40&md5=ef55ba2c0c1a57b0173830c30a7c6e26,Conference paper,Final,,Scopus,2-s2.0-84905095607
Adri?œo Z.; Morais E.P.; Cunha C.R.,"Adri?œo, Zenaida (57211478383); Morais, Elisabete Paulo (27568052000); Cunha, Carlos R. (57202512811)",57211478383; 27568052000; 57202512811,Using a mobile application to support tourist's information and services needs: The case of Cabo Verde Islands,2019,"Proceedings of the 33rd International Business Information Management Association Conference, IBIMA 2019: Education Excellence and Innovation Management through Vision 2020",,,,6667,6673,6,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074111123&partnerID=40&md5=86dd48d4b77eb70a1246d912146a17f2,Conference paper,Final,,Scopus,2-s2.0-85074111123
Hwang Y.-H.; Jani D.; Jeong H.K.,"Hwang, Yeong-Hyeon (7402310934); Jani, Dev (38861742700); Jeong, Ho Kyun (55752102900)",7402310934; 38861742700; 55752102900,Analyzing international tourists' functional information needs: A comparative analysis of inquiries in an on-line travel forum,2013,Journal of Business Research,66,6,,700,705,5,34,10.1016/j.jbusres.2011.09.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878415824&doi=10.1016%2fj.jbusres.2011.09.006&partnerID=40&md5=bfe539f7eabedef9998835e29f82c97a,Article,Final,,Scopus,2-s2.0-84878415824
Huertas A.; Miguel O.-M.,"Huertas, Assumpci¢ (14071750900); Miguel, Orden-Mej¡a (57195296474)",14071750900; 57195296474,Do tourists seek the same information at destinations? Analysis of digital tourist information searches according to different types of tourists,2022,European Journal of Tourism Research,32,,3211,,,,3,10.54055/ejtr.v32i.2492,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135588263&doi=10.54055%2fejtr.v32i.2492&partnerID=40&md5=f971892bc10b41f1aa0bf1894e9f6d89,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85135588263
Yang R.; O'Connor P.; Wibowo S.,"Yang, Rongbin (57200543275); O'Connor, Peter (35206376500); Wibowo, Santoso (26430103900)",57200543275; 35206376500; 26430103900,Unpacking risk aversion and uncertainty avoidance: an analysis from a tourists? personality traits and information search perspective,2023,Tourism Recreation Research,,,,,,,1,10.1080/02508281.2023.2260978,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174045592&doi=10.1080%2f02508281.2023.2260978&partnerID=40&md5=be64345434581987cf30cd75573441c0,Article,Article in press,,Scopus,2-s2.0-85174045592
Cao T.-D.; Phan T.-H.; Nguyen A.-D.,"Cao, Tuan-Dung (54392453700); Phan, Thanh-Hien (54394061900); Nguyen, Anh-Duc (25960312600)",54392453700; 54394061900; 25960312600,An ontology based approach to data representation and information search in smart tourist guide system,2011,"Proceedings - 2011 3rd International Conference on Knowledge and Systems Engineering, KSE 2011",,,6063461,171,175,4,17,10.1109/KSE.2011.33,https://www.scopus.com/inward/record.uri?eid=2-s2.0-81255191717&doi=10.1109%2fKSE.2011.33&partnerID=40&md5=7fb414585d82916bd18cc40f03ce8e1e,Conference paper,Final,,Scopus,2-s2.0-81255191717
Ho C.-I.; Chen M.-C.; Yuan Y.-L.,"Ho, Chaang-Iuan (11838859600); Chen, Ming-Chih (7406351302); Yuan, Yu-Lan (55761488200)",11838859600; 7406351302; 55761488200,A structural equation model for consumers' mobile-based information search: A case of outbound chinese tourists,2017,International Journal of Supply Chain Management,6,3,,212,217,5,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030537631&partnerID=40&md5=d43cf9d4d3b6d8ec9a739faf015080c6,Article,Final,,Scopus,2-s2.0-85030537631
Vila T.D.; Vila N.A.; Gonz lez E.A.; Brea J.A.F.,"Vila, Trinidad Dominguez (55618623800); Vila, Noelia Ara£jo (57210159700); Gonz lez, Elisa Al‚n (57209476703); Brea, Jose Antonio Fraiz (55820906500)",55618623800; 57210159700; 57209476703; 55820906500,The Role of the internet as a tool to search for tourist information,2018,Journal of Global Information Management,26,1,,58,84,26,10,10.4018/JGIM.2018010104,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033373071&doi=10.4018%2fJGIM.2018010104&partnerID=40&md5=e8216e9350f8ff978018838ba45c8a04,Article,Final,,Scopus,2-s2.0-85033373071
Kang S.; Kim W.G.; Park D.,"Kang, Sanghoon (57200536451); Kim, Woo Gon (55667126500); Park, Deukhee (57201982592)",57200536451; 55667126500; 57201982592,Understanding tourist information search behaviour: the power and insight of social network analysis,2021,Current Issues in Tourism,24,3,,403,423,20,14,10.1080/13683500.2020.1771290,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086660968&doi=10.1080%2f13683500.2020.1771290&partnerID=40&md5=f0f09da9d611e46cfde91bb297b62695,Article,Final,,Scopus,2-s2.0-85086660968
Premchaiswadi W.; Tungkatsathan A.; Premchaiswadi N.,"Premchaiswadi, Wichian (6507026485); Tungkatsathan, Anucha (25926727900); Premchaiswadi, Nucharee (6507088613)",6507026485; 25926727900; 6507088613,Mobile image search for tourist information using ACCC algorithm,2010,"IEEE International Symposium on Personal, Indoor and Mobile Radio Communications, PIMRC",,,5671757,2557,2562,5,5,10.1109/PIMRC.2010.5671757,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78751560437&doi=10.1109%2fPIMRC.2010.5671757&partnerID=40&md5=f363b230bd77469c14aec865221f5c23,Conference paper,Final,,Scopus,2-s2.0-78751560437
Yamamoto M.,"Yamamoto, Masahide (57191612302)",57191612302,Effectiveness of search keyword advertising to provide tourists information,2016,Proceedings - 22nd ISSAT International Conference on Reliability and Quality in Design,,,,238,243,5,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992049153&partnerID=40&md5=c4a73fca871f97a1afceea085ec4546d,Conference paper,Final,,Scopus,2-s2.0-84992049153
Sun S.; Law R.; Luk C.,"Sun, Sunny (56723167200); Law, Rob (7201502135); Luk, Chris (57213474932)",56723167200; 7201502135; 57213474932,Tourists? Travel-Related Information Search Channels,2022,International Journal of Hospitality and Tourism Administration,23,2,,149,164,15,12,10.1080/15256480.2020.1727809,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079413916&doi=10.1080%2f15256480.2020.1727809&partnerID=40&md5=5dd8f05b26897799af1e95349b33f4d5,Article,Final,,Scopus,2-s2.0-85079413916
Sharifpour M.; Walters G.; Ritchie B.W.; Winter C.,"Sharifpour, Mona (55944769200); Walters, Gabrielle (36679550400); Ritchie, Brent W. (7006634938); Winter, Caroline (35185794400)",55944769200; 36679550400; 7006634938; 35185794400,Investigating the Role of Prior Knowledge in Tourist Decision Making: A Structural Equation Model of Risk Perceptions and Information Search,2014,Journal of Travel Research,53,3,,307,322,15,161,10.1177/0047287513500390,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898685164&doi=10.1177%2f0047287513500390&partnerID=40&md5=898c8039384e53a7322307031af0ca7a,Article,Final,,Scopus,2-s2.0-84898685164
Ni J.; Rhim A.H.R.; Chiu D.K.W.; Ho K.K.W.,"Ni, Jiaye (57250362300); Rhim, Anthony Hae Ryong (57225045500); Chiu, Dickson K.W. (23388109000); Ho, Kevin K.W. (14834043100)",57250362300; 57225045500; 23388109000; 14834043100,Information search behavior among Chinese self-drive tourists in the smartphone era,2022,Information Discovery and Delivery,50,3,,285,296,11,26,10.1108/IDD-05-2020-0054,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114521263&doi=10.1108%2fIDD-05-2020-0054&partnerID=40&md5=e28049664ab9ef787de70d138511936d,Article,Final,,Scopus,2-s2.0-85114521263
Zillinger M.,"Zillinger, Malin (18039084100)",18039084100,Hybrid tourist information search German tourists' combination of digital and analogue information channels,2020,Tourism and Hospitality Research,20,4,,510,515,5,4,10.1177/1467358420935164,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087425217&doi=10.1177%2f1467358420935164&partnerID=40&md5=58fb44e381ef12eec379a9f77d05a02b,Article,Final,,Scopus,2-s2.0-85087425217
Mori T.; Hoshino Y.; Yamada M.; Ishii E.,"Mori, Taiga (57207823738); Hoshino, Yuko (55555640800); Yamada, Mitsuho (7405745700); Ishii, Eriko (57205999750)",57207823738; 55555640800; 7405745700; 57205999750,Development of a Tourist Information Search Support System That Reflects Interests Based on User's Gaze,2022,Proceedings of the International Conference on Tourism Research,2022-May,,,561,567,6,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178118535&partnerID=40&md5=6a8f49634dd50e378113cac7f2ebd17f,Conference paper,Final,,Scopus,2-s2.0-85178118535
Zuozhi L.; Erda W.,"Zuozhi, Li (43262180400); Erda, Wang (8130300500)",43262180400; 8130300500,Tourists' preferences of Chinese EDI in information search based on series of discriminant analysis of cross-cultural marketing,2011,"2011 International Conference on E-Business and E-Government, ICEE2011 - Proceedings",,,5881894,1875,1878,3,0,10.1109/ICEBEG.2011.5881894,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960390373&doi=10.1109%2fICEBEG.2011.5881894&partnerID=40&md5=cdc7834a4ee945c797217ee6bff8f9ce,Conference paper,Final,,Scopus,2-s2.0-79960390373
Paniagua F.J.; Huertas A.,"Paniagua, Francisco Javier (57202046257); Huertas, Assumpci¢ (14071750900)",57202046257; 14071750900,The content of tourist destinations in social media and the information search of users; [El contenido en los medios sociales de los destinos tur¡sticos y la b£squeda de informaci¢n de los usuarios],2018,Cuadernos de Turismo,,41,,513,534+723,,9,10.6018/turismo.41.327131,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046947585&doi=10.6018%2fturismo.41.327131&partnerID=40&md5=23cdb787fd963d015a51e4c1546e72e7,Review,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85046947585
Quintal V.A.; Lee J.A.; Soutar G.N.,"Quintal, Vanessa Ann (14029090300); Lee, Julie Anne (7601485779); Soutar, Geoffrey N. (6602364479)",14029090300; 7601485779; 6602364479,Tourists' information search: The differential impact of risk and uncertainty avoidance,2010,International Journal of Tourism Research,12,4,,321,333,12,95,10.1002/jtr.753,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954428776&doi=10.1002%2fjtr.753&partnerID=40&md5=2238529caff251bec5d64048c26d39e4,Article,Final,,Scopus,2-s2.0-77954428776
Bj”rk P.; Kauppinen-R„is„nen H.,"Bj”rk, Peter (36634092400); Kauppinen-R„is„nen, Hannele (25623417600)",36634092400; 25623417600,The impact of perceived risk on information search: A study of finnish tourists,2011,Scandinavian Journal of Hospitality and Tourism,11,3,,306,323,17,24,10.1080/15022250.2011.593358,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052979024&doi=10.1080%2f15022250.2011.593358&partnerID=40&md5=806b63f6cc29a14846a3153d02fb2cec,Article,Final,,Scopus,2-s2.0-80052979024
Hungenberg E.; Ouyang L.; Gray D.,"Hungenberg, Eric (56248188300); Ouyang, Lei (57207877675); Gray, Dianna (24724315900)",56248188300; 57207877675; 24724315900,Measuring the information search behaviors of adventure sport tourists,2019,Event Management,23,1,,75,91,16,6,10.3727/152599518X15378845225366,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063154107&doi=10.3727%2f152599518X15378845225366&partnerID=40&md5=b26bde98d9764a9d51cf1c88f24fa2f7,Article,Final,,Scopus,2-s2.0-85063154107
Jacobsen J.K.S.; Munar A.M.,"Jacobsen, Jens Kr. Steen (36179837700); Munar, Ana Mar¡a (16307676600)",36179837700; 16307676600,Tourist information search and destination choice in a digital age,2012,Tourism Management Perspectives,1,1,,39,47,8,269,10.1016/j.tmp.2011.12.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861125085&doi=10.1016%2fj.tmp.2011.12.005&partnerID=40&md5=2d29ad918c463ed57fb95426c05363ac,Article,Final,,Scopus,2-s2.0-84861125085
He K.; Yang Q.; Wu D.; Zou Y.,"He, Kaijian (7202010698); Yang, Qian (58061047600); Wu, Don (57208080172); Zou, Yingchao (56141534000)",7202010698; 58061047600; 57208080172; 56141534000,Tourist arrival forecasting using feed search information,2023,Current Issues in Tourism,,,,,,,0,10.1080/13683500.2023.2259573,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173082395&doi=10.1080%2f13683500.2023.2259573&partnerID=40&md5=cbaa8e2a3c4aa02ba48ef68d3a3bbf26,Article,Article in press,,Scopus,2-s2.0-85173082395
Erawan T.; Krairit D.; Esichaikul V.,"Erawan, Theera (36663519100); Krairit, Donyaprueth (12792836200); Esichaikul, Vatcharaporn (35606204300)",36663519100; 12792836200; 35606204300,Development of tourist information search behavior model: The case of Thailand,2010,"PICMET '10 - Portland International Center for Management of Engineering and Technology, Proceedings - Technology Management for Global Economic Growth",,,5603349,2930,2936,6,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78549245169&partnerID=40&md5=6dc3d4461ddb4b8f9a2be920846be496,Conference paper,Final,,Scopus,2-s2.0-78549245169
Erawan T.; Krairit D.; Ba Khang D.,"Erawan, Theera (36663519100); Krairit, Donyaprueth (12792836200); Ba Khang, Do (23096945400)",36663519100; 12792836200; 23096945400,Tourists? external information search behavior model: the case of Thailand,2011,Journal of Modelling in Management,6,3,,297,316,19,11,10.1108/17465661111183702,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919772123&doi=10.1108%2f17465661111183702&partnerID=40&md5=1ed237d1fd3a9a00a31777c483440da6,Article,Final,,Scopus,2-s2.0-84919772123
Premchaiswadi W.,"Premchaiswadi, Wichian (6507026485)",6507026485,An image search for tourist information using a mobile phone,2010,WSEAS Transactions on Information Science and Applications,7,4,,532,541,9,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950974377&partnerID=40&md5=8b0b7f588a328df4e370db0432fd5970,Article,Final,,Scopus,2-s2.0-77950974377
Luo F.; Zhong Y.,"Luo, Fen (35728999700); Zhong, Yongde (15049958200)",35728999700; 15049958200,Tourist internet information search motivation: An empirical study of backpackers of University students,2010,"2010 International Conference on Networking and Digital Society, ICNDS 2010",1,,5479192,314,317,3,2,10.1109/ICNDS.2010.5479192,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954504266&doi=10.1109%2fICNDS.2010.5479192&partnerID=40&md5=e49d7cbb02a0aca19673ef253a825ad8,Conference paper,Final,,Scopus,2-s2.0-77954504266
Reis C.; Zucco F.D.; Silva F.R.; Limberger P.F.,"Reis, Cl¢vis (57200767312); Zucco, Fabricia Durieux (57194071320); Silva, Franciele Rocha da (57194067810); Limberger, Pablo Flores (57194064904)",57200767312; 57194071320; 57194067810; 57194064904,The ubiquity of social media in the search for tourist information on the internet; [A onipresen‡a das m¡dias sociais na busca por informa‡?es tur¡sticas na internet],2016,Espacios,37,23,,1,10,9,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018594103&partnerID=40&md5=ade6fdb03aa60968a2f527b35ae847c7,Article,Final,,Scopus,2-s2.0-85018594103
Ramkissoon H.; Uysal M.S.,"Ramkissoon, Haywantee (18435318500); Uysal, Muzaffer S. (7006287365)",18435318500; 7006287365,"The effects of perceived authenticity, information search behaviour, motivation and destination imagery on cultural behavioural intentions of tourists",2011,Current Issues in Tourism,14,6,,537,562,25,190,10.1080/13683500.2010.493607,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960886573&doi=10.1080%2f13683500.2010.493607&partnerID=40&md5=9855d156d91e5d8f4fa21167d261c1b8,Article,Final,,Scopus,2-s2.0-79960886573
Zarezadeh Z.; Benckendorff P.; Gretzel U.,"Zarezadeh, Zohreh (55824160000); Benckendorff, Pierre (7801583867); Gretzel, Ulrike (6506950250)",55824160000; 7801583867; 6506950250,Lack of progress in tourist information search research: a critique of citation behaviour and knowledge development,2019,Current Issues in Tourism,22,19,,2415,2429,14,25,10.1080/13683500.2018.1459511,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045111791&doi=10.1080%2f13683500.2018.1459511&partnerID=40&md5=bfa72ed76cb36c7d378eddbd23c9ea66,Article,Final,,Scopus,2-s2.0-85045111791
Bronner F.; de Hoog R.,"Bronner, Fred (16244364100); de Hoog, Robert (6701774366)",16244364100; 6701774366,A new perspective on tourist information search: Discussion in couples as the context,2011,"International Journal of Culture, Tourism and Hospitality Research",5,2,,128,143,15,9,10.1108/17506181111139555,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986166685&doi=10.1108%2f17506181111139555&partnerID=40&md5=037f49c8865180c30d948ce0cc4c98d2,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-84986166685
Salas-Olmedo M.H.; Moya-G¢mez B.; Garc¡a-Palomares J.C.; Guti‚rrez J.,"Salas-Olmedo, Mar¡a Henar (55317904000); Moya-G¢mez, Borja (56663164700); Garc¡a-Palomares, Juan Carlos (15135472600); Guti‚rrez, Javier (6506692910)",55317904000; 56663164700; 15135472600; 6506692910,Tourists? digital footprint in cities: Comparing Big Data sources,2018,Tourism Management,66,,,13,25,12,175,10.1016/j.tourman.2017.11.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033478697&doi=10.1016%2fj.tourman.2017.11.001&partnerID=40&md5=870fb13952143a93c0bdfb1e0e1e152c,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85033478697
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
